a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),class
1.07806558,0.826853942,22.8254952,31.3829659,88.0106813,215.5287722,0.1867,1.97,1.12,16.9,0.034507,APO*
1.24530431,0.335342019,13.3374816,276.8930236,337.2079581,104.1556065,0.8277,1.66,1.39,15.6,0.030669,APO*
1.47026416,0.559921778,6.3529947,285.8525637,35.736768,174.6262134,0.647,2.29,1.78,16.25,0.025795,APO*
1.77602471,0.650140732,39.8325384,267.7919932,356.9033434,173.1885562,0.6214,2.93,2.37,15.2,0.003551,APO*
1.87412276,0.764601569,1.3263995,43.3880477,349.6949443,235.1586224,0.4412,3.31,2.57,18.8,0.011645,APO*
1.29017967,0.299195544,64.002772,61.5506945,94.3658545,354.8536645,0.9042,1.68,1.47,16,0.043644,APO*
1.59962299,0.502890862,23.0619076,290.8781279,191.2177635,278.3232506,0.7952,2.4,2.02,17.94,0.010105,APO*
2.17498917,0.713051688,2.5223603,98.2565926,74.9954815,194.2562338,0.6241,3.73,3.21,15.25,0.003093,APO*
0.84382925,0.449884166,5.8545912,39.9262942,211.5421371,42.1044329,0.4642,1.22,0.78,20.2,0.006874,ATE*
1.76841226,0.422950084,22.1501738,27.8142475,336.1006851,267.6154315,1.0205,2.52,2.35,14.1,0.0453,AMO*
1.27121567,0.889916185,22.2480527,322.162477,265.2412221,123.9028868,0.1399,2.4,1.43,14.6,0.019627,APO*
1.20944199,0.32288265,2.6848549,301.6506257,189.6022467,283.4076826,0.8189,1.6,1.33,19.03,0.013917,APO*
0.98950586,0.468571561,9.9171846,55.0404734,152.451001,76.2805584,0.5259,1.45,0.98,18.3,0.013664,ATE*
2.19887684,0.541090853,13.5311478,204.2415301,82.0882917,5.2913582,1.0091,3.39,3.26,16.5,0.022126,APO*
1.83470301,0.445494301,3.8678758,17.1578452,74.9709591,263.2948455,1.0174,2.65,2.49,18.95,0.037892,AMO*
2.63099412,0.630563119,2.7884465,95.0341055,267.0648731,253.4345781,0.972,4.29,4.27,15.99,0.043492,APO*
1.05965389,0.443905194,11.1700737,296.5800497,158.0036734,50.8080932,0.5893,1.53,1.09,18.4,0.019276,APO*
2.53544608,0.629436823,0.447195,278.7183624,124.3715301,19.5825094,0.9395,4.13,4.04,15.3,0.006121,APO*
1.982399,0.634373193,6.7048765,236.3254956,294.904797,267.6636059,0.7248,3.24,2.79,14.4,0.028515,APO*
1.44225816,0.586590426,5.5197745,291.7752429,311.8487349,38.9235929,0.5962,2.29,1.73,17.1,0.028458,APO*
2.19972488,0.662808419,3.0393394,168.866959,82.2435991,31.528861,0.7417,3.66,3.26,15.6,0.046187,APO*
1.02240224,0.357024169,4.918984,255.3016674,180.2984004,194.5489305,0.6574,1.39,1.03,20.7,0.003621,APO*
1.48867815,0.360026344,1.431693,158.0288284,314.4438955,110.8312811,0.9527,2.02,1.82,18.2,0.003207,APO*
1.06333327,0.483131171,8.8852837,121.3626069,325.5829561,326.7885603,0.5496,1.58,1.1,16.9,0.020585,APO*
1.62112683,0.657596724,24.3892278,77.7659494,77.7253816,28.1924565,0.5551,2.69,2.06,14.1,0.02621,APO*
1.63571076,0.49984062,7.4075903,105.7488633,10.780353,294.8060536,0.8181,2.45,2.09,16.4,0.025073,APO*
1.55152051,0.477999133,3.5834376,159.6391449,135.3366248,270.3701454,0.8099,2.29,1.93,17.8,0.044395,APO*
0.92883693,0.406145645,4.7384758,82.4340422,312.1147348,66.1451754,0.5516,1.31,0.9,17.2,0.033465,ATE*
1.27088627,0.585364352,5.0546409,258.8694356,97.0603006,76.8483268,0.527,2.01,1.43,16.6,0.005598,APO*
1.2712441,0.499620192,3.4997471,242.0750011,182.4807299,124.3850255,0.6361,1.91,1.43,18.7,0.02416,APO*
1.1514836,0.412763139,3.942876,239.6773848,344.6073598,150.4379535,0.6762,1.63,1.24,18.5,0.026459,APO*
2.50723814,0.604021161,2.2780652,65.9393475,211.5969087,213.8412336,0.9928,4.02,3.97,19.2,0.028842,APO*
2.50025267,0.590737634,5.9449037,323.5837238,301.9104499,165.1709655,1.0233,3.98,3.95,18.9,0.042606,AMO*
1.77060553,0.484123161,15.1948732,232.249391,61.3307871,258.2099034,0.9134,2.63,2.36,17,0.022042,APO*
1.84210537,0.506510954,5.4156611,173.3443,294.8470764,13.7240462,0.9091,2.78,2.5,16.7,0.047796,APO*
1.34626767,0.328340772,33.4860996,47.6201303,117.8943902,281.2790322,0.9042,1.79,1.56,16.8,0.000142,APO*
